service_id,date,exception_type
18,20130813,1
18,20130814,1
18,20130815,1
18,20130819,1
18,20130820,1
18,20130821,1
18,20130822,1
18,20130826,1
18,20130827,1
18,20130828,1
18,20130829,1
18,20130903,1
18,20130904,1
18,20130905,1
18,20130909,1
18,20130910,1
18,20130911,1
18,20130912,1
18,20130916,1
18,20130917,1
18,20130918,1
18,20130919,1
18,20130923,1
18,20130924,1
18,20130925,1
18,20130926,1
18,20130930,1
19,20130404,1
19,20130405,1
19,20130409,1
19,20130410,1
19,20130411,1
19,20130412,1
19,20130416,1
19,20130417,1
19,20130418,1
19,20130419,1
19,20130423,1
19,20130424,1
19,20130425,1
19,20130426,1
19,20130430,1
19,20130501,1
19,20130502,1
19,20130503,1
19,20130507,1
19,20130508,1
19,20130509,1
19,20130510,1
19,20130514,1
19,20130515,1
19,20130516,1
19,20130517,1
19,20130521,1
19,20130522,1
19,20130523,1
19,20130524,1
19,20130529,1
19,20130530,1
19,20130531,1
19,20130604,1
19,20130605,1
19,20130606,1
19,20130607,1
19,20130611,1
19,20130612,1
19,20130613,1
19,20130614,1
19,20130618,1
19,20130619,1
19,20130620,1
19,20130621,1
19,20130625,1
19,20130626,1
19,20130627,1
19,20130628,1
19,20130702,1
19,20130703,1
19,20130709,1
19,20130710,1
19,20130711,1
19,20130712,1
19,20130716,1
19,20130717,1
19,20130718,1
19,20130719,1
19,20130723,1
19,20130724,1
19,20130725,1
19,20130726,1
19,20130730,1
19,20130731,1
19,20130801,1
19,20130802,1
19,20130806,1
19,20130807,1
19,20130808,1
19,20130809,1
19,20130813,1
19,20130814,1
19,20130815,1
19,20130816,1
19,20130820,1
19,20130821,1
19,20130822,1
19,20130823,1
19,20130827,1
19,20130828,1
19,20130829,1
19,20130830,1
19,20130904,1
19,20130905,1
19,20130906,1
19,20130910,1
19,20130911,1
19,20130912,1
19,20130913,1
19,20130917,1
19,20130918,1
19,20130919,1
19,20130920,1
19,20130924,1
19,20130925,1
19,20130926,1
19,20130927,1
20,20130408,1
20,20130415,1
20,20130422,1
20,20130429,1
20,20130506,1
20,20130513,1
20,20130520,1
20,20130528,1
20,20130603,1
20,20130610,1
20,20130617,1
20,20130624,1
20,20130701,1
20,20130708,1
20,20130715,1
20,20130722,1
20,20130729,1
20,20130805,1
20,20130812,1
20,20130819,1
20,20130826,1
20,20130903,1
20,20130909,1
20,20130916,1
20,20130923,1
20,20130930,1
21,20130404,1
21,20130405,1
21,20130408,1
21,20130409,1
21,20130410,1
21,20130411,1
21,20130412,1
21,20130415,1
21,20130416,1
21,20130417,1
21,20130418,1
21,20130419,1
21,20130422,1
21,20130423,1
21,20130424,1
21,20130425,1
21,20130426,1
21,20130429,1
21,20130430,1
21,20130501,1
21,20130502,1
21,20130503,1
21,20130506,1
21,20130507,1
21,20130508,1
21,20130509,1
21,20130510,1
21,20130513,1
21,20130514,1
21,20130515,1
21,20130516,1
21,20130517,1
21,20130520,1
21,20130521,1
21,20130522,1
21,20130523,1
21,20130524,1
21,20130528,1
21,20130529,1
21,20130530,1
21,20130603,1
21,20130604,1
21,20130605,1
21,20130606,1
21,20130610,1
21,20130611,1
21,20130612,1
21,20130613,1
21,20130617,1
21,20130618,1
21,20130619,1
21,20130620,1
21,20130624,1
21,20130625,1
21,20130626,1
21,20130627,1
21,20130701,1
21,20130702,1
21,20130703,1
21,20130708,1
21,20130709,1
21,20130710,1
21,20130711,1
21,20130715,1
21,20130716,1
21,20130717,1
21,20130718,1
21,20130722,1
21,20130723,1
21,20130724,1
21,20130725,1
21,20130729,1
21,20130730,1
21,20130731,1
21,20130801,1
21,20130805,1
21,20130806,1
21,20130807,1
21,20130808,1
21,20130812,1
21,20130813,1
21,20130814,1
21,20130815,1
21,20130819,1
21,20130820,1
21,20130821,1
21,20130822,1
21,20130826,1
21,20130827,1
21,20130828,1
21,20130829,1
21,20130903,1
21,20130904,1
21,20130905,1
21,20130906,1
21,20130909,1
21,20130910,1
21,20130911,1
21,20130912,1
21,20130913,1
21,20130916,1
21,20130917,1
21,20130918,1
21,20130919,1
21,20130920,1
21,20130923,1
21,20130924,1
21,20130925,1
21,20130926,1
21,20130927,1
21,20130930,1
22,20130404,1
22,20130405,1
22,20130408,1
22,20130409,1
22,20130410,1
22,20130411,1
22,20130412,1
22,20130415,1
22,20130416,1
22,20130417,1
22,20130418,1
22,20130419,1
22,20130422,1
22,20130423,1
22,20130424,1
22,20130425,1
22,20130426,1
22,20130429,1
22,20130430,1
22,20130501,1
22,20130502,1
22,20130503,1
22,20130506,1
22,20130507,1
22,20130508,1
22,20130509,1
22,20130510,1
22,20130513,1
22,20130514,1
22,20130515,1
22,20130516,1
22,20130517,1
22,20130520,1
22,20130521,1
22,20130522,1
22,20130523,1
22,20130524,1
22,20130528,1
22,20130529,1
22,20130530,1
22,20130603,1
22,20130604,1
22,20130605,1
22,20130606,1
22,20130610,1
22,20130611,1
22,20130612,1
22,20130613,1
22,20130617,1
22,20130618,1
22,20130619,1
22,20130620,1
22,20130624,1
22,20130625,1
22,20130626,1
22,20130627,1
22,20130701,1
22,20130702,1
22,20130703,1
22,20130708,1
22,20130709,1
22,20130710,1
22,20130711,1
22,20130715,1
22,20130716,1
22,20130717,1
22,20130718,1
22,20130722,1
22,20130723,1
22,20130724,1
22,20130725,1
22,20130729,1
22,20130730,1
22,20130731,1
22,20130801,1
22,20130805,1
22,20130806,1
22,20130807,1
22,20130808,1
22,20130812,1
22,20130813,1
22,20130814,1
22,20130815,1
22,20130819,1
22,20130820,1
22,20130821,1
22,20130822,1
22,20130826,1
22,20130827,1
22,20130828,1
22,20130829,1
22,20130903,1
22,20130904,1
22,20130905,1
22,20130909,1
22,20130910,1
22,20130911,1
22,20130912,1
22,20130916,1
22,20130917,1
22,20130918,1
22,20130919,1
22,20130923,1
22,20130924,1
22,20130925,1
22,20130926,1
22,20130930,1
23,20130406,1
23,20130407,1
23,20130413,1
23,20130414,1
23,20130420,1
23,20130421,1
23,20130427,1
23,20130428,1
23,20130504,1
23,20130505,1
24,20130531,1
24,20130607,1
24,20130614,1
24,20130621,1
24,20130628,1
24,20130705,1
24,20130712,1
24,20130719,1
24,20130726,1
24,20130802,1
24,20130809,1
24,20130816,1
24,20130823,1
24,20130830,1
25,20130511,1
25,20130512,1
25,20130518,1
25,20130519,1
25,20130525,1
25,20130526,1
25,20130527,1
25,20130601,1
25,20130602,1
25,20130608,1
25,20130609,1
25,20130615,1
25,20130616,1
25,20130622,1
25,20130623,1
25,20130629,1
25,20130630,1
25,20130704,1
25,20130706,1
25,20130707,1
25,20130713,1
25,20130714,1
25,20130720,1
25,20130721,1
25,20130727,1
25,20130728,1
25,20130803,1
25,20130804,1
25,20130810,1
25,20130811,1
25,20130817,1
25,20130818,1
25,20130824,1
25,20130825,1
25,20130831,1
25,20130901,1
25,20130902,1
25,20130907,1
25,20130908,1
25,20130914,1
25,20130915,1
25,20130921,1
25,20130922,1
25,20130928,1
25,20130929,1
26,20130505,1
27,20130404,1
27,20130405,1
27,20130408,1
27,20130409,1
27,20130410,1
27,20130411,1
27,20130412,1
27,20130415,1
27,20130416,1
27,20130417,1
27,20130418,1
27,20130419,1
27,20130422,1
27,20130423,1
27,20130424,1
27,20130425,1
27,20130426,1
27,20130429,1
27,20130430,1
27,20130501,1
27,20130502,1
27,20130503,1
27,20130506,1
27,20130507,1
27,20130508,1
27,20130509,1
27,20130510,1
27,20130513,1
27,20130514,1
27,20130515,1
27,20130516,1
27,20130517,1
27,20130520,1
27,20130521,1
27,20130522,1
27,20130523,1
27,20130528,1
27,20130529,1
27,20130530,1
27,20130531,1
27,20130603,1
27,20130604,1
27,20130605,1
27,20130606,1
27,20130610,1
27,20130611,1
27,20130612,1
27,20130613,1
27,20130617,1
27,20130618,1
27,20130619,1
27,20130620,1
27,20130624,1
27,20130625,1
27,20130626,1
27,20130627,1
27,20130701,1
27,20130702,1
27,20130703,1
27,20130708,1
27,20130709,1
27,20130710,1
27,20130711,1
27,20130715,1
27,20130716,1
27,20130717,1
27,20130718,1
27,20130722,1
27,20130723,1
27,20130724,1
27,20130725,1
27,20130729,1
27,20130730,1
27,20130731,1
27,20130801,1
27,20130805,1
27,20130806,1
