route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
15,2,3843,"NEWARK PENN STATION",0,"5452",1285
15,2,3844,"NEWARK PENN STATION",0,"5408",1286
15,2,3845,"NEWARK PENN STATION",0,"5420",1287
15,2,3846,"NEWARK PENN STATION",0,"5426",1288
15,2,3847,"NEWARK PENN STATION",0,"5444",1289
15,2,3848,"HOBOKEN",0,"2406",1290
15,2,3849,"NEWARK PENN STATION",0,"5730",1291
15,2,3850,"NEWARK PENN STATION",0,"5736",1292
15,2,3851,"NEWARK PENN STATION",0,"5742",1293
15,2,3852,"NEWARK PENN STATION",0,"5746",1294
15,2,3853,"NEWARK PENN STATION",0,"5902",1295
15,3,3854,"NEWARK PENN STATION",0,"5506",1296
15,3,3855,"NEWARK PENN STATION",0,"5508",1297
15,3,3856,"NEWARK PENN STATION",0,"5512",1298
15,3,3857,"NEWARK PENN STATION",0,"5516",1299
15,3,3858,"NEWARK PENN STATION",0,"5518",1300
15,3,3859,"NEWARK PENN STATION",0,"5520",1301
15,3,3860,"NEWARK PENN STATION",0,"5522",1302
15,3,3861,"NEWARK PENN STATION",0,"5524",1303
15,3,3862,"NEWARK PENN STATION",0,"5526",1304
15,3,3863,"NEWARK PENN STATION",0,"5528",1305
15,3,3864,"NEWARK PENN STATION",0,"5530",1306
15,3,3865,"NEWARK PENN STATION",0,"5532",1307
15,3,3866,"NEWARK PENN STATION",0,"5534",1308
15,3,3867,"NEWARK PENN STATION",0,"5536",1309
15,3,3868,"NEWARK PENN STATION",0,"5538",1310
15,3,3869,"NEWARK PENN STATION",0,"5540",1311
15,3,3870,"NEWARK PENN STATION",0,"5510",1312
15,3,3871,"NEWARK PENN STATION",0,"5514",1313
15,11,3872,"RARITAN",1,"8529",1314
15,11,3873,"HIGH BRIDGE",1,"8545",1315
15,17,3874,"RARITAN",1,"5501",1316
15,1,3875,"RARITAN",1,"5503",1317
15,16,3876,"RARITAN",1,"5401",1318
15,13,3877,"HIGH BRIDGE",1,"5743",1319
15,13,3878,"RARITAN",1,"5445",1320
15,2,3879,"HIGH BRIDGE",1,"5737",1321
15,2,3880,"RARITAN",1,"5415",1322
15,2,3881,"RARITAN",1,"5421",1323
15,2,3882,"RARITAN",1,"5423",1324
15,2,3883,"RARITAN",1,"5435",1325
15,2,3884,"RARITAN",1,"5441",1326
15,2,3885,"RARITAN",1,"5409",1327
15,2,3886,"RARITAN",1,"5413",1328
15,2,3887,"RARITAN",1,"5427",1329
15,2,3888,"RARITAN",1,"5431",1330
15,2,3889,"RARITAN",1,"5439",1331
15,2,3890,"RARITAN",1,"5447",1332
15,2,3891,"RARITAN",1,"5451",1333
15,2,3892,"RARITAN",1,"5455",1334
15,2,3893,"HIGH BRIDGE",1,"5725",1335
15,2,3894,"HIGH BRIDGE",1,"5749",1336
15,2,3895,"HIGH BRIDGE",1,"5757",1337
15,2,3896,"HIGH BRIDGE",1,"5711",1338
